system,scenario_id,actual_case,forecast_case,split,baseline,target,baseline_horizon,target_horizon,baseline_gamma_Q,target_gamma_Q,baseline_cost,target_cost,cost_diff,cost_reduction_percent,baseline_solve_time_s,target_solve_time_s,time_diff_s,time_reduction_percent
33,80,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1750.6988865261387,1386.6191620364643,-364.0797244896744,20.79625041700388,51.231000900268555,31.141000509262085,-20.09000039100647,39.21453814676722
33,81,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1667.9582633958096,1301.2690372024251,-366.68922619338446,21.98431664871751,57.13700032234192,29.37299919128418,-27.76400113105774,48.59198238343877
33,82,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1618.251724660957,1276.1064481778747,-342.1452764830824,21.142895834377427,51.4529983997345,33.360000133514404,-18.092998266220093,35.16412809542593
33,83,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1699.9911551342036,1339.853199514662,-360.1379556195416,21.184695845732854,57.04599857330322,34.667999505996704,-22.37799906730652,39.227990791591
33,84,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1798.6969717240127,1397.440711336988,-401.25626038702467,22.308163448033667,62.162001848220825,31.265000343322754,-30.89700150489807,49.70400017093786
33,85,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1716.7474073616286,1354.5318203885606,-362.21558697306796,21.098944749812464,71.21099829673767,32.22200059890747,-38.9889976978302,54.75137075787403
33,86,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1667.5045179963429,1335.8588037247207,-331.6457142716222,19.88874456964737,98.48800039291382,37.083000898361206,-61.40499949455261,62.34769641944185
33,87,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1687.1565588312644,1354.485650563655,-332.6709082676093,19.717844590430825,81.99900007247925,35.922998666763306,-46.07600140571594,56.1909308223139
33,88,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1686.1875810544693,1354.3962099616717,-331.7913710927976,19.6770142788805,97.70199990272522,32.21300029754639,-65.48899960517883,67.02933376019064
33,89,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1792.3841699733814,1420.3767566817178,-372.0074132916636,20.754892813921042,60.5799994468689,32.42500042915344,-28.154999017715454,46.47573336874743
33,90,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1706.3695133932881,1355.8246441747706,-350.54486921851753,20.543315294084437,59.0119993686676,36.81799936294556,-22.194000005722046,37.609300215484545
33,91,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1744.7135049381511,1378.494774891677,-366.2187300464741,20.990192888972697,93.03899908065796,30.7979998588562,-62.24099922180176,66.89775237999217
33,92,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1552.7649357817957,1231.476801788358,-321.28813399343767,20.691356855741564,80.56799983978271,33.19399881362915,-47.374001026153564,58.80002124957968
33,93,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1637.3319171837081,1285.3156913584537,-352.0162258252544,21.49938092153848,66.00999999046326,35.11600065231323,-30.893999338150024,46.80199870112621
33,94,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1653.5192611214925,1328.3458867467634,-325.17337437472906,19.665532904296594,67.58900141716003,36.797998905181885,-30.79100251197815,45.55623232533908
33,95,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1603.4040323552476,1280.8902384122428,-322.5137939430049,20.114318502072297,62.486000537872314,32.31399917602539,-30.172001361846924,48.28601783140192
33,96,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1666.507291289621,1349.2053094603355,-317.3019818292855,19.03993960828953,126.76899981498718,35.07900142669678,-91.6899983882904,72.32840719900547
33,97,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1654.6971871283629,1281.6894017747768,-373.0077853535861,22.54235930629222,51.596999168395996,34.304999351501465,-17.29199981689453,33.51357655599119
33,98,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1631.8100350027046,1315.3267256590173,-316.4833093436873,19.39461717694136,40.756999254226685,27.05399990081787,-13.702999353408813,33.621217469752146
33,99,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,3,3,,0.3,1722.955718651368,1365.945573191026,-357.0101454603421,20.72079633827092,66.84800004959106,32.06999921798706,-34.778000831604004,52.02549187081738
