system,scenario_id,actual_case,forecast_case,split,baseline,target,baseline_cost,target_cost,cost_diff,cost_reduction_percent,baseline_solve_time_s,target_solve_time_s,time_diff_s,time_reduction_percent
33,80,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1664.3785950199272,1395.0250842442554,-269.3535107756718,16.183427952126895,62.22099947929382,52.273000955581665,-9.947998523712158,15.988168957367355
33,80,id_actual,high_error,test_id,MPC-3,Proposed-H3,1731.283817143853,1423.0910986512215,-308.19271849263146,17.80139775124021,58.42500066757202,51.00000071525574,-7.424999952316284,12.708600543392764
33,80,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1750.6988581297453,1386.6191620364643,-364.079696093281,20.79624913231644,51.75100064277649,29.789000988006592,-21.961999654769897,42.43782609416152
33,81,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1572.6493750811553,1304.8181530638567,-267.8312220172986,17.030574409090864,55.54099893569946,35.38100028038025,-20.159998655319214,36.29750822209501
33,81,id_actual,high_error,test_id,MPC-3,Proposed-H3,1658.9342445100826,1345.0044723825788,-313.92977212750384,18.923581399708446,40.565999269485474,48.065999031066895,7.499999761581421,-18.488389036734677
33,81,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1667.9582633958096,1301.2690372024251,-366.68922619338446,21.98431664871751,51.33900022506714,28.686999559402466,-22.652000665664673,44.12240317567472
33,82,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1611.885593395421,1293.271790797551,-318.61380259787006,19.766527097417207,60.703999042510986,33.571001291275024,-27.132997751235962,44.69721629416002
33,82,id_actual,high_error,test_id,MPC-3,Proposed-H3,1689.7658260551086,1334.383451850082,-355.3823742050265,21.03145706495288,48.24900031089783,44.9689998626709,-3.2800004482269287,6.7980692389311255
33,82,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1618.251724660957,1276.1064481778747,-342.1452764830824,21.142895834377427,47.80600118637085,35.89099979400635,-11.915001392364502,24.923652045093835
33,83,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1596.0839468050235,1348.8726264383656,-247.2113203666579,15.488616426568012,75.2829999923706,33.41299819946289,-41.870001792907715,55.61680830619255
33,83,id_actual,high_error,test_id,MPC-3,Proposed-H3,1658.6577834423365,1385.0500509162275,-273.607732526109,16.495731383376167,49.27499985694885,51.17199969291687,1.8969998359680176,-3.8498221034504967
33,83,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1699.9911551342036,1339.853199514662,-360.1379556195416,21.184695845732854,56.299999475479126,31.314000129699707,-24.98599934577942,44.380105823378926
33,84,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1665.7367870481542,1412.308808872874,-253.42797817528026,15.21416709685442,64.89799904823303,34.80899977684021,-30.088999271392822,46.36352385692245
33,84,id_actual,high_error,test_id,MPC-3,Proposed-H3,1810.9835324793025,1406.2774090391179,-404.7061234401847,22.347311070583135,69.10300040245056,41.239999532699585,-27.863000869750977,40.32097116981752
33,84,id_actual,id_reliable,test_id,MPC-3,Proposed-H3,1798.6969717240127,1397.440711336988,-401.25626038702467,22.308163448033667,54.36399984359741,28.690999507904053,-25.67300033569336,47.22426681177495
33,85,id_actual,biased_ood,test_id,MPC-3,Proposed-H3,1603.92989425291,1356.1159704405036,-247.8139238124063,15.450421162443318,55.19600009918213,36.182000398635864,-19.013999700546265,34.44814781212381
33,85,id_actual,high_error,test_id,MPC-3,Proposed-H3,1692.687406901934,1369.032376029472,-323.655030872462,19.120779746618215,101.06400084495544,43.64299988746643,-57.421000957489014,56.81647320254011
