system,method,scenario_id,split,actual_case,forecast_case,horizon,gamma_Q,cost,perfect_cost,gap_percent,voltage_violation,solve_time_s,avg_step_time_s,max_step_time_s,solver_fail_count,timeout_count,completed,incomplete_reason,seed,solver_kind,solver_window,executed_steps,include_tail,max_steps,final_P_DG_5,final_SOC_BSS_9,step_costs_json,step_times_json,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_std_nn_binary_count,step_model_statuses_json,step_model_sol_counts_json,mean_model_status,min_model_sol_count,num_optimal_steps,num_timelimit_steps,failure_message,experiment_tag
33,Oracle-H3,80,test_id,id_actual,perfect,3,,1761.1164758354964,,,,54.892001152038574,1.143583357334137,12.602999925613403,0,0,True,,100080,pure_mpc_clean,4,48,True,,1.0,0.12500000078684143,"[10.482017083629263, 14.052370192910892, 8.368416089279787, 5.28562891293536, 6.16615, 9.120325187027154, 6.16615, 11.141331279002202, 14.20732321710431, 6.16615, 21.26870852795804, 27.20666336609353, 40.98044585708538, 27.895306229706357, 16.665192936616243, 6.16615, 5.493151109639694, 4.259781489726206, 3.026507869812719, 1.7933302498992318, 0.5602486299857449, 0.0, 0.0, 0.0, 0.5955007753430501, 17.884639918211473, 35.76556397686939, 31.14833770145217, 39.31691702394878, 38.91841346885468, 63.63324303751451, 79.59463976097729, 101.03980079517736, 121.40305066080104, 101.56493276117021, 114.26206746592199, 54.6525809079226, 52.935891849403085, 57.317829238257744, 64.87999557302098, 70.66968458741266, 72.55979420177806, 64.03571798503432, 68.24031935782513, 73.08466815013486, 64.7912945718066, 64.48228202182479, 61.867961816421435]","[0.4200000762939453, 0.37399983406066895, 1.6630001068115234, 0.3410000801086426, 0.08800005912780762, 1.1080000400543213, 0.41499996185302734, 1.7839999198913574, 0.8870000839233398, 0.437999963760376, 0.5360000133514404, 0.3880000114440918, 0.5339999198913574, 0.75, 0.46200013160705566, 0.0970001220703125, 2.995000123977661, 0.6840000152587891, 0.6370000839233398, 0.7280001640319824, 0.6210000514984131, 0.681999921798706, 0.5299999713897705, 1.1130001544952393, 0.7920000553131104, 12.602999925613403, 11.733999967575073, 4.384000062942505, 2.628000020980835, 0.5240001678466797, 0.687999963760376, 0.0840001106262207, 0.5299999713897705, 0.40199995040893555, 0.4049999713897705, 0.10199999809265137, 0.30900001525878906, 0.3530001640319824, 0.19899988174438477, 0.1119999885559082, 0.11899995803833008, 0.1119999885559082, 0.11700010299682617, 0.1119999885559082, 0.11700010299682617, 0.10100007057189941, 0.06699991226196289, 0.023000001907348633]",698.125,0.0,398.5,290.8125,2.9375,1.143583357334137,0.0007612466936328539,0.0009982381016225427,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,48,0,,oracle_mpc
33,Oracle-H7,80,test_id,id_actual,perfect,7,,1653.8005843432136,,,,1747.7470009326935,36.41139585276445,300.4960000514984,0,0,True,,100080,pure_mpc_clean,8,48,True,,1.0,0.12500000331037572,"[10.52212526210984, 14.75871187003033, 14.124110183620317, 11.735156158102596, 6.16615, 8.661878312111245, 6.16615, 14.81006977732857, 19.14076615336764, 12.66409026228651, 18.4023373432074, 15.777246071328962, 40.980439370539, 12.447738805494334, 6.16615, 6.166147146623305, 5.493150669399903, 4.259781049946378, 3.0265074305671176, 1.7933298113218175, 0.5602481914426665, 0.0, 0.0, 0.19368069755819858, 17.959099073674327, 19.505888510482695, 33.973071721643215, 19.689094300328208, 33.06040641436267, 38.91841360061502, 64.13653713604334, 79.59463928398866, 84.72325184161572, 91.44302700959278, 71.62101475210345, 95.64218252606028, 54.65258352734566, 52.93589528426872, 57.31782915153293, 64.87999543336856, 70.66968413537886, 72.55979391927146, 64.03571783059358, 68.24031914603158, 73.08463755575373, 64.79129435661152, 64.48228176161702, 61.867961504543196]","[16.433000087738037, 111.8529999256134, 191.50999999046326, 300.4960000514984, 126.52500009536743, 163.1710000038147, 26.901000022888184, 40.56400012969971, 38.805999994277954, 21.747000217437744, 9.766999959945679, 0.4199998378753662, 14.184000015258789, 20.013000011444092, 17.790000200271606, 21.634999990463257, 2.2280001640319824, 2.364000082015991, 2.302999973297119, 1.7639999389648438, 16.89800000190735, 25.401999950408936, 10.02899980545044, 7.513999938964844, 300.2869999408722, 158.44700002670288, 59.45199990272522, 23.223000049591064, 2.3510000705718994, 2.2360000610351562, 2.365000009536743, 2.1649999618530273, 2.195000171661377, 0.36100006103515625, 0.4830000400543213, 0.39300012588500977, 0.40199995040893555, 0.36700010299682617, 0.4010000228881836, 0.35199999809265137, 0.38900017738342285, 0.3919999599456787, 0.3540000915527344, 0.29600000381469727, 0.19000005722045898, 0.1659998893737793, 0.11999988555908203, 0.042999982833862305]",1557.1666666666667,0.0,887.7916666666666,649.6875,6.5625,36.41139585276445,0.0009162885126988915,0.0014371854814146856,nan,"[2, 2, 2, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 2, 3, 2, 3, 5, 2, 2, 2, 1, 2, 1, 4, 3, 5, 3, 1, 1, 1, 2, 6, 2, 3, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.2916666666666665,1.0,46,2,,oracle_mpc
33,Oracle-H3,81,test_id,id_actual,perfect,3,,1658.5632415138134,,,,116.34299898147583,2.4238124787807465,16.931999921798706,0,0,True,,100081,pure_mpc_clean,4,48,True,,1.0,0.125000001354718,"[23.338841283859665, 7.390411766907386, 3.6994018399246245, 6.809410464931444, 6.16615, 10.773141962809037, 6.166149994933605, 8.321923934840148, 10.126807361719443, 9.008418374587642, 19.86045492629698, 26.715225138953908, 28.169005359240785, 29.425985614073518, 10.12186882959668, 6.16615, 4.973938674998425, 3.794869484204695, 2.5616322063700134, 1.3284907931390861, 0.29353530711609654, 0.0, 0.0, 0.0, 3.090759855666776, 15.629263290572613, 7.9768345012275805, 18.438536658331348, 19.31346020001201, 35.38642210135418, 61.30078932043976, 87.90200546457135, 97.56779800795425, 104.20323092650015, 124.06755256067301, 125.86858354926615, 55.668893745355305, 66.01816791688597, 59.951677638665075, 77.09619505913501, 71.97509158107238, 61.191997236697304, 49.728950891831666, 56.06499561395161, 57.32793337617312, 55.14839294911985, 60.271744460790856, 62.162151289063026]","[1.0089998245239258, 1.1010000705718994, 0.8020000457763672, 11.652999877929688, 3.23799991607666, 11.407999992370605, 2.384999990463257, 3.177999973297119, 2.319999933242798, 1.7360000610351562, 0.8159999847412109, 0.3769998550415039, 0.8880000114440918, 1.3009998798370361, 0.502000093460083, 0.4030001163482666, 0.5179998874664307, 0.1679999828338623, 2.0859999656677246, 14.585999965667725, 11.955999851226807, 0.5720000267028809, 5.227999925613403, 4.240000009536743, 16.931999921798706, 4.734999895095825, 4.522000074386597, 2.9040000438690186, 1.5199999809265137, 0.5779998302459717, 0.15700006484985352, 0.1679999828338623, 0.10700011253356934, 0.11299991607666016, 0.11100006103515625, 0.11299991607666016, 0.10000014305114746, 0.10300016403198242, 0.10099983215332031, 0.11599993705749512, 0.3280000686645508, 0.23799991607666016, 0.1959998607635498, 0.2560000419616699, 0.1700000762939453, 0.2089998722076416, 0.06500005722045898, 0.029999971389770508]",698.125,0.0,398.5,290.8125,2.9375,2.4238124787807465,0.0008714884698285574,0.0009994602276698357,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 1, 4, 1, 4, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 4, 7, 1, 5, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,48,0,,oracle_mpc
33,Oracle-H7,81,test_id,id_actual,perfect,7,,1562.8478058209134,,,,2729.7189996242523,56.86914582550526,300.3989999294281,0,0,True,,100081,pure_mpc_clean,8,48,True,,1.0,0.12499999981120381,"[23.338839803092675, 9.813893751977204, 8.299855066294272, 9.118686290978207, 6.16615, 11.951483407217145, 7.22622083831454, 13.054595860327021, 14.800120373614625, 13.516645869520705, 16.08178190455885, 14.106614387162688, 27.45846853542764, 15.842712095600575, 6.16615, 6.109207353479621, 5.028192896194509, 3.7948594747068793, 2.561622044192457, 1.3284806317524345, 0.9194061369435729, 0.0, 0.0, 1.0132908783184433, 14.194094631669097, 23.61425984613433, 4.712928614623689, 5.94633350628655, 19.31344887906412, 35.3864148827287, 61.30078936207635, 87.90200542044887, 92.2281946213594, 86.35395589292322, 89.39409001693672, 92.1978122078691, 55.66889390575919, 66.01819944090886, 59.95167813782545, 77.096167435363, 71.97511149209379, 61.19199675772192, 49.728950765249785, 56.06499865798663, 57.32793316361131, 55.14839268939303, 60.27174398419251, 62.16213390901415]","[24.71399998664856, 300.3880000114441, 240.62700009346008, 77.00500011444092, 137.68499994277954, 158.28700017929077, 24.867000102996826, 57.20099997520447, 43.99900007247925, 19.61299991607666, 21.120999813079834, 16.896000146865845, 9.119999885559082, 13.506999969482422, 11.099999904632568, 11.20799994468689, 16.39199995994568, 13.42799997329712, 20.270999908447266, 300.13899993896484, 300.16799998283386, 261.4159998893738, 28.574999809265137, 7.02400016784668, 300.3989999294281, 185.74900007247925, 35.543999910354614, 43.44799995422363, 30.206000089645386, 6.254999876022339, 1.6710000038146973, 1.2129998207092285, 1.7950000762939453, 1.6009998321533203, 0.33499979972839355, 0.3190000057220459, 0.32400012016296387, 1.0139999389648438, 1.0369999408721924, 1.2680001258850098, 0.9090001583099365, 0.9200000762939453, 0.2799999713897705, 0.20099997520446777, 0.17600011825561523, 0.20300006866455078, 0.0690000057220459, 0.032000064849853516]",1557.1666666666667,0.0,887.7916666666666,649.6875,6.5625,56.86914582550526,0.0009849207356999877,0.0018879728969509863,nan,"[2, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 9, 2, 2, 2, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 1, 3, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 5, 4, 1, 2, 3, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]",2.5833333333333335,1.0,44,4,,oracle_mpc
33,Oracle-H3,82,test_id,id_actual,perfect,3,,1620.005035421552,,,,72.27700018882751,1.5057708372672398,16.026999950408936,0,0,True,,100082,pure_mpc_clean,4,48,True,,1.0,0.12500000076071238,"[21.164022309334747, 4.581275881093138, 4.23701743442422, 4.927007959845773, 5.300345837284598, 8.487175239193325, 8.188923157904354, 12.307606752021766, 10.750779352814325, 10.02017648162367, 18.52180788793165, 22.435059617153698, 30.475391727991266, 26.059906419652215, 32.710467915167726, 8.184284643099021, 6.16615, 5.1367044165235916, 3.9035366376537746, 2.6702907476444104, 1.4371408576350464, 0.20408696762568215, 0.0, 0.0, 0.8600737425332692, 2.0931786325038146, 16.63186199484949, 20.791266929707113, 33.11149670785601, 33.94293943024854, 43.68887800976038, 78.23701931972347, 90.94720675960211, 105.77932542942355, 121.58850409435895, 109.33683400896125, 46.966722451477885, 64.4355819048638, 62.956880360412704, 60.5219556254167, 62.36212186390039, 58.54338120366214, 52.16307884462481, 54.433239612818355, 64.02373236735654, 58.769318048354464, 69.0645461158729, 60.88673371964516]","[0.3880000114440918, 3.451000213623047, 7.689000129699707, 0.2560000419616699, 0.09200000762939453, 0.9560000896453857, 2.061000108718872, 2.2249999046325684, 1.369999885559082, 0.9210000038146973, 1.2760000228881836, 0.3710000514984131, 1.7960000038146973, 0.5829999446868896, 0.8689999580383301, 0.503000020980835, 0.10300016403198242, 0.6590001583099365, 0.06500005722045898, 0.3970000743865967, 0.625999927520752, 0.49699997901916504, 0.5690000057220459, 16.026999950408936, 1.7789998054504395, 0.9789998531341553, 14.973999977111816, 2.1369998455047607, 2.5820000171661377, 0.8819999694824219, 0.5820000171661377, 0.4589998722076416, 0.41300010681152344, 0.47699999809265137, 0.16299986839294434, 0.13199996948242188, 0.2869999408721924, 0.24200010299682617, 0.2560000419616699, 0.3450000286102295, 0.37400007247924805, 0.2739999294281006, 0.23099994659423828, 0.3559999465942383, 0.24100017547607422, 0.24500012397766113, 0.08299994468688965, 0.03399991989135742]",698.125,0.0,398.5,290.8125,2.9375,1.5057708372672398,0.0007919894355872724,0.000998375380101609,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 2, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,48,0,,oracle_mpc
33,Oracle-H7,82,test_id,id_actual,perfect,7,,1517.4331183550316,,,,1889.4999992847443,39.364583318432175,300.4690001010895,0,0,True,,100082,pure_mpc_clean,8,48,True,,1.0,0.12500000452234974,"[21.164018331365074, 6.268045474232604, 10.432456876008875, 7.165360996739256, 6.16615, 7.557495581561874, 9.181731933640549, 15.8864584132189, 17.716339793641453, 17.31258874070952, 18.01791798387996, 13.972578550403544, 30.4753836204126, 10.270843677870877, 6.16615, 6.16614999974457, 6.16615, 5.136694609150018, 3.9035009548220536, 2.670255068090283, 1.437105190102643, 0.2040513242126266, 0.0, 0.41126744245621655, 8.03708336775518, 8.648437259788194, 16.805299634980575, 9.99584059537625, 32.48419535447394, 34.31307800247206, 43.688878103369014, 78.23701954467663, 84.95197429675694, 80.19714292287742, 94.97995350676527, 86.11816427550609, 46.966826593975796, 64.43558163257093, 62.956878807266904, 60.521955171883604, 62.36212160906935, 58.543384294090096, 52.16307872943545, 54.43324261134998, 64.0237320077711, 58.7693177714768, 69.06450444837368, 60.88673325070692]","[13.075000047683716, 41.793999910354614, 61.00399994850159, 71.4689998626709, 59.93999981880188, 102.78999996185303, 66.7960000038147, 53.6560001373291, 60.05999994277954, 25.02300000190735, 16.210000038146973, 12.715999841690063, 16.436000108718872, 19.10699987411499, 17.33399987220764, 18.003999948501587, 17.692999839782715, 1.8919999599456787, 0.17499995231628418, 1.5939998626708984, 300.4690001010895, 177.17999982833862, 21.486000061035156, 10.53600001335144, 300.1840000152588, 300.1159999370575, 42.59000015258789, 31.026000022888184, 4.628000020980835, 6.561000108718872, 1.930999994277954, 2.078000068664551, 1.8840000629425049, 2.234999895095825, 0.48599982261657715, 0.4270000457763672, 0.5299999713897705, 1.3539998531341553, 1.2870001792907715, 1.2910001277923584, 1.496999979019165, 1.6170001029968262, 0.34200000762939453, 0.31399989128112793, 0.1959998607635498, 0.31100010871887207, 0.1230001449584961, 0.05299997329711914]",1557.1666666666667,0.0,887.7916666666666,649.6875,6.5625,39.364583318432175,0.000930630889876299,0.0012678500988019669,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 2, 2, 2, 9, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 4, 4, 2, 3, 1, 2, 2, 3, 2, 2, 3, 3, 6, 2, 4, 5, 1, 1, 2, 4, 2, 5, 1, 5, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.4375,1.0,45,3,,oracle_mpc
33,Oracle-H3,83,test_id,id_actual,perfect,3,,1669.9329300022475,,,,69.24399971961975,1.442583327492078,12.666000127792358,0,0,True,,100083,pure_mpc_clean,4,48,True,,1.0,0.12500000081645377,"[17.22111463849879, 9.508728112368027, 4.735441776944162, 4.932692201955696, 6.166114011783082, 6.16615, 9.145552065520713, 9.032957992611694, 6.355124148745897, 7.8574269230667975, 15.547853890196738, 24.272947234082643, 35.66221818033982, 24.50209074600425, 15.717920065871317, 18.266773529059645, 6.01364655529742, 4.780236424577686, 3.5469222938579543, 2.3137041631382216, 1.080582032418489, 0.0, 0.0, 0.0, 1.2330379086011596, 2.466171810731302, 5.159407757189715, 12.170585677246269, 32.21083180039382, 48.64608774061466, 62.455129872014226, 87.2329897513627, 112.76779688253072, 117.22389804311712, 128.55932163840717, 116.41380842910576, 51.41025384323774, 41.75708059854279, 59.40490238708876, 63.02261591886416, 56.86560384539124, 62.75863575690557, 64.53189044420543, 67.0581580160008, 63.26342738698256, 62.006812216791744, 59.303004228546506, 59.185281062036715]","[0.4519999027252197, 1.6800000667572021, 5.46399998664856, 0.38499999046325684, 0.10400009155273438, 12.666000127792358, 5.186999797821045, 0.7599999904632568, 0.5069999694824219, 1.7750000953674316, 0.875999927520752, 0.3380000591278076, 2.874000072479248, 1.4700000286102295, 0.9539999961853027, 3.2799999713897705, 0.4890000820159912, 0.6359999179840088, 0.7050001621246338, 0.570000171661377, 0.621999979019165, 0.49499988555908203, 0.06099987030029297, 7.919999837875366, 1.9750001430511475, 0.5899999141693115, 6.200999975204468, 2.80400013923645, 2.1470000743865967, 0.6599998474121094, 0.14800000190734863, 0.7460000514984131, 0.45399999618530273, 0.12999987602233887, 0.14399981498718262, 0.16200017929077148, 0.40799999237060547, 0.22499990463256836, 0.312999963760376, 0.23099994659423828, 0.2720000743865967, 0.24100017547607422, 0.25099992752075195, 0.18999981880187988, 0.20799994468688965, 0.34200000762939453, 0.09500002861022949, 0.03699994087219238]",698.125,0.0,398.5,290.8125,2.9375,1.442583327492078,0.0007756682412761564,0.000987599942393059,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 8, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,48,0,,oracle_mpc
33,Oracle-H7,83,test_id,id_actual,perfect,7,,1603.1980159143943,,,,2138.3989996910095,44.54997916022936,300.52999997138977,0,0,True,,100083,pure_mpc_clean,8,48,True,,1.0,0.12500000186103058,"[17.221115594977434, 10.993486199650723, 8.215125800614583, 6.775290108206514, 6.551251831227683, 6.16615, 13.308855513531572, 13.688128929936358, 11.920213885875338, 15.487983691325928, 14.891191476947172, 14.740869550947727, 35.66217029272638, 10.344934917117385, 6.16615, 6.16615, 6.0136329332507845, 4.780222804016919, 3.546908674857357, 2.3136905451977556, 1.0805684165381548, 1.6557930570349233e-05, 0.0, 0.08568153476325191, 17.955495936183198, 29.769507387438836, 8.51423163946041, 10.991903510877526, 32.210831804314225, 48.64608175437923, 62.45512991052613, 87.23298953474502, 95.63910380395833, 91.33497076295595, 101.91711599305393, 89.84319523365242, 51.41025398684193, 41.75708068551327, 59.404906135358715, 63.02261591005456, 56.86560382016244, 62.75863569256027, 64.5318904428887, 67.05815799978694, 63.263427355189805, 62.00681227657344, 59.30300414628229, 59.1852809319971]","[18.374000072479248, 43.11300015449524, 44.06699991226196, 88.92499995231628, 300.52999997138977, 300.28399991989136, 36.973999977111816, 51.0310001373291, 44.31099987030029, 36.88000011444092, 14.610000133514404, 17.793999910354614, 9.990000009536743, 16.796000003814697, 17.47699999809265, 13.69700002670288, 2.070000171661377, 2.182000160217285, 2.0889999866485596, 12.121000051498413, 13.496999979019165, 300.4119999408722, 21.334999799728394, 7.611999988555908, 300.1599998474121, 300.1559998989105, 36.50600004196167, 35.7279999256134, 29.046000003814697, 7.675999879837036, 1.944000005722046, 2.4059998989105225, 2.553999900817871, 0.4500000476837158, 0.47699999809265137, 0.45799994468688965, 1.2440001964569092, 0.4230000972747803, 0.39100003242492676, 0.40600013732910156, 0.36099982261657715, 0.40000009536743164, 0.33699989318847656, 0.2799999713897705, 0.23399996757507324, 0.43400001525878906, 0.11999988555908203, 0.03699994087219238]",1557.1666666666667,0.0,887.7916666666666,649.6875,6.5625,44.54997916022936,0.0009174961810674602,0.001301222966561955,nan,"[2, 2, 2, 2, 9, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 2, 2, 9, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 4, 3, 2, 1, 2, 2, 2, 2, 1, 2, 2, 4, 4, 5, 6, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.7291666666666665,1.0,43,5,,oracle_mpc
33,Oracle-H3,84,test_id,id_actual,perfect,3,,1725.4620772743938,,,,61.51799941062927,1.2816249877214432,10.36300015449524,0,0,True,,100084,pure_mpc_clean,4,48,True,,1.0,0.12500000092519448,"[11.65556722301483, 14.311011810834582, 3.9850955339976846, 5.500574846227825, 7.753248751659914, 8.477858100059374, 7.33162653859584, 10.18814889496932, 9.829178272994547, 12.09048969842189, 19.177348762567952, 25.31075930593117, 24.819508188593254, 29.12670655281824, 14.031488194638174, 6.159753150960187, 6.024937664972149, 4.856975829704225, 3.6244370044266434, 2.391432282663218, 1.1583041009688617, 0.0, 0.0, 0.0, 1.2330377120957547, 2.4661716772988145, 3.150082826399803, 4.383366065876704, 37.41917971646472, 64.30435381528851, 61.817275021523585, 92.6838076226389, 116.63224092610423, 115.30788001678214, 126.96615468330634, 117.72380935783346, 48.695375296682535, 70.74847476061316, 58.406262366677765, 64.5279437558254, 57.11362592324147, 68.14666654945114, 65.11401904215295, 66.81908253458994, 55.73902133841343, 68.87507627605144, 65.6007862472996, 63.78393303276208]","[0.3990001678466797, 4.322000026702881, 6.852999925613403, 10.36300015449524, 2.1019999980926514, 3.808000087738037, 2.76200008392334, 2.557000160217285, 1.4920001029968262, 1.4029998779296875, 1.1180000305175781, 0.6210000514984131, 1.2239999771118164, 0.4739999771118164, 0.5279998779296875, 0.30499982833862305, 0.16300010681152344, 0.9470000267028809, 0.08699989318847656, 0.09099984169006348, 0.7089998722076416, 0.5490000247955322, 0.4509999752044678, 3.3389999866485596, 2.434999942779541, 0.8960001468658447, 0.9860000610351562, 3.2339999675750732, 1.690000057220459, 0.7139999866485596, 0.8409998416900635, 0.14499998092651367, 0.5440001487731934, 0.6699998378753662, 0.1679999828338623, 0.17699980735778809, 0.27300000190734863, 0.1640000343322754, 0.29200005531311035, 0.19000005722045898, 0.17399978637695312, 0.17499995231628418, 0.2909998893737793, 0.2989997863769531, 0.26600003242492676, 0.12600016593933105, 0.06399989128112793, 0.03699994087219238]",698.125,0.0,398.5,290.8125,2.9375,1.2816249877214432,0.0008203155194198844,0.000999241711031702,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 3, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,48,0,,oracle_mpc
33,Oracle-H7,84,test_id,id_actual,perfect,7,,1597.7217249998364,,,,1420.5330002307892,29.59443750480811,300.24399995803833,0,0,True,,100084,pure_mpc_clean,8,48,True,,1.0,0.12500000167708783,"[11.655567345895305, 16.259882957000144, 10.09287514869592, 8.994664804926888, 10.62352333569326, 7.921950344209852, 7.685726857816654, 13.828174163810257, 14.222622273153418, 16.4917556451246, 15.820124447684575, 14.050381358962664, 22.90754295442732, 15.105826249240646, 6.16615, 6.16615, 6.067348056000226, 4.83393374712268, 3.600615436824135, 2.36739312652559, 1.1342668172270447, 0.0, 0.0, 0.5248874752349201, 1.7579663286022906, 19.715070677689738, 4.224412062126703, 5.457778928857297, 29.83675559851519, 64.30435508222784, 61.81727502182216, 86.62118518868041, 89.18984587284015, 78.1444485493121, 98.43364852647609, 88.12735336132019, 48.69537560471983, 70.74847477572219, 58.406262384657126, 64.52794380648083, 57.11362592291922, 68.14666654917124, 65.11401904442131, 66.81908254754207, 55.73902128997371, 68.87507621056379, 65.60078618064675, 63.783932938971866]","[50.335999965667725, 74.03999996185303, 121.6010000705719, 153.47399997711182, 103.93299984931946, 99.5680000782013, 48.8270001411438, 65.2279999256134, 45.194000005722046, 22.07699990272522, 17.706000089645386, 15.911999940872192, 11.021000146865845, 9.317000150680542, 1.7820000648498535, 1.7100000381469727, 1.7909998893737793, 1.7179999351501465, 1.316999912261963, 11.99399995803833, 14.815999984741211, 300.24399995803833, 27.95899987220764, 23.997999906539917, 24.116000175476074, 72.91700005531311, 60.776999950408936, 17.564000129699707, 1.7130000591278076, 2.051999807357788, 2.0989999771118164, 1.9560000896453857, 1.9830000400543213, 2.075000047683716, 2.1599998474121094, 2.115000009536743, 0.4010000228881836, 0.3840000629425049, 0.4089999198913574, 0.2869999408721924, 0.31599998474121094, 0.4309999942779541, 0.34800004959106445, 0.2910001277923584, 0.24699997901916504, 0.17400002479553223, 0.1100001335144043, 0.04500007629394531]",1557.1666666666667,0.0,887.7916666666666,649.6875,6.5625,29.59443750480811,0.0009311735031308243,0.0015179074720154215,nan,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[2, 4, 4, 4, 5, 2, 2, 2, 1, 3, 1, 1, 2, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.1458333333333335,1.0,47,1,,oracle_mpc
