system,actual_case,forecast_case,display_forecast_case,method,horizon,gamma_Q,n_runs,completed_count,completed_rate,certified_global_count,certified_global_rate,total_fail_count,total_timeout_count,mean_executed_steps,n_completed,policy_eval_mode,policy_eval_seed,policy_stochastic_eval,cost_accounting,voltage_violation_metric,mean_cost,std_cost,ci95_cost,mean_economic_generation_cost,std_economic_generation_cost,ci95_economic_generation_cost,mean_penalized_cost,std_penalized_cost,ci95_penalized_cost,mean_balance_penalty_cost,std_balance_penalty_cost,mean_constraint_penalty,std_constraint_penalty,mean_solve_time_s,std_solve_time_s,ci95_solve_time_s,mean_avg_step_time_s,mean_max_step_time_s,mean_num_vars,mean_num_bin_vars,mean_num_constrs,mean_num_qconstrs,mean_num_genconstrs,mean_model_runtime_s,mean_mip_gap,max_mip_gap,mean_model_status,mean_gurobi_status,min_model_sol_count,mean_cost_constraint,mean_voltage_violation,std_voltage_violation,ci95_voltage_violation,legacy_mean_cost_constraint,source_summary,n_gap_matched,mean_gap_to_perfect_percent,std_gap_to_perfect_percent,ci95_gap_to_perfect_percent
33,id_actual,perfect_full_horizon,full actual trajectory,Perfect-Global,48,,20,20,1.0,0.0,0.0,0,20.0,48.0,20,,,,full_day_optimization_objective,,1313.0122874524436,45.01318364455955,19.727897548531708,,,,,,,,,,,1800.9200499773026,0.4796196377056471,0.210202574197715,37.51916770786047,1800.9200499773026,11378.0,0.0,6482.0,4752.0,48.0,1800.9200499773026,0.0013148350858413,0.0015288167225965,9.0,9.0,2.0,,,,,,formal/step7b_33_perfect_global_summary.csv,20,0.0,0.0,0.0
33,id_actual,perfect,perfect,Oracle-H3,3,,20,20,1.0,,,0,,48.0,20,,,,,,1670.4788485342272,59.88375932847463,26.24521469491446,,,,,,,,,,,70.38389967679977,20.492325015127776,8.98115742316564,1.466331243266662,12.867049980163577,,,,,,,,,,,,,,,,,formal/step7_33_oracle_mpc_summary.csv,20,27.22580485355486,1.3859201683723885,0.6074062947422484
33,id_actual,perfect,perfect,Oracle-H7,7,,20,20,1.0,,,0,,48.0,20,,,,,,1578.1945053707088,50.45105161571149,22.11114826601997,,,,,,,,,,,1934.1484997749328,529.6148323732879,232.11393434745025,40.29476041197777,293.1610500216484,,,,,,,,,,,,,,,,,formal/step7_33_oracle_mpc_summary.csv,20,20.21895821965165,1.8694242730418762,0.8193113116487133
33,id_actual,id_reliable,id_reliable,MPC-3,3,,20,20,1.0,,,0,,48.0,20,,,,,,1682.9825316751974,61.534562713366704,26.96871117779112,,,,,,,,,,,70.18419983386994,20.73811195653319,9.088878299722635,1.4621708298722904,14.895149958133697,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv,20,28.1758822012569,1.4755680911270963,0.6466962292091991
33,id_actual,id_reliable,id_reliable,MPC-5,5,,20,20,1.0,,,0,,48.0,20,,,,,,1625.7381371827626,58.75919872080584,25.75235427805555,,,,,,,,,,,501.04794989824296,190.1531484170692,83.33829173524995,10.438498956213396,128.57894999980925,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv,20,23.830200551735032,2.295382339783942,1.0059956654374453
33,id_actual,id_reliable,id_reliable,MPC-7,7,,20,20,1.0,,,0,,48.0,20,,,,,,1594.145195692511,63.05705946090333,27.635974797501916,,,,,,,,,,,1687.4157499194146,462.3042546457741,202.61377297636344,35.1544947899878,284.412700009346,,,,,,,,,,,,,,,,,formal/step4_33_main_model_based_summary.csv,20,21.42331441102182,2.9653743359221165,1.2996326043956092
33,id_actual,id_reliable,id_reliable,StdNN-H3-MIP,3,0.3,20,20,1.0,,,0,0.0,48.0,20,,,,,,1545.9611878924084,111.0222455361606,48.65764445457143,,,,,,,,,,,98.46904990673065,11.766394023034012,5.15684954956805,2.0514385397235557,11.971400022506714,1868.1260416666669,69.37604166666667,1297.509375,290.8125,3.875,2.0514385397235557,0.0004339990796676,0.0009999484150971,2.0,,1.0,,,,,,formal/step6_33_stdnn_only_summary.csv,20,17.764734586411134,7.86841757786893,3.448486049575958
33,id_actual,not_applicable,-,SAC,0,,20,20,1.0,,,0,,48.0,20,deterministic_mean_action,,False,legacy_penalized_operating_cost,"env.net.res_bus.vm_pu, vmin=0.94, vmax=1.06",1406.2672477390768,44.96833575888128,19.70824209601105,282.9509255744519,0.0265446064804402,0.0116336867271442,1406.2672477390768,44.96833575888128,19.70824209601105,1123.3163221646248,44.95977662756686,1123.3163221646248,44.95977662756684,0.5290190601022914,0.0876135217590267,0.0383983189186628,0.0110212304187977,0.0157844299799762,,,,,,,,,,,,0.0055333760793141,0.2656020518070811,0.0403853263261372,0.0176996496519159,0.0055333760793141,formal/step7_33_policy_baselines_summary.csv,20,7.11238444561201,0.7162195705692525,0.313897066735277
33,id_actual,not_applicable,-,SAC-ICNN,0,,20,20,1.0,,,0,,48.0,20,deterministic_mean_action,,False,legacy_penalized_operating_cost,"env.net.res_bus.vm_pu, vmin=0.94, vmax=1.06",1941.220766545081,44.77684859020331,19.6243191441184,283.09733641723113,0.0102349832657423,0.0044856791928314,1941.220766545081,44.77684859020331,19.6243191441184,1658.1234301278498,44.77704392739668,1658.1234301278498,44.77704392739674,0.5479890401707962,0.070042968080919,0.0306976842430574,0.0114164383368915,0.020637034997344,,,,,,,,,,,,0.0228601399020107,1.0972867152965178,0.0833874438131154,0.0365461585958697,0.0228601399020107,formal/step7_33_policy_baselines_summary.csv,20,47.90158908029875,1.86491033387608,0.8173329905837933
33,id_actual,not_applicable,-,SACLag,0,,20,20,1.0,,,0,,48.0,20,stochastic_sampled_action,0.0,True,legacy_penalized_operating_cost,"env.net.res_bus.vm_pu, vmin=0.94, vmax=1.06",1458.4946660050755,48.049518463526496,21.05862995583299,282.28010303591844,0.1300972704372471,0.0570176427154322,1458.4946660050755,48.049518463526496,21.05862995583299,1176.2145629691574,48.12302682446633,1176.2145629691574,48.12302682446633,0.3798554249224253,0.0662448339661334,0.0290330785736664,0.0079136546858838,0.0131922300206497,,,,,,,,,,,,1.866507616480664e-05,0.0008959236559107,0.0009864076941018,0.0004323122328779,0.0018665076164806,formal/step7_33_saclag_stochastic_seed0_test_summary.csv,20,11.088307695689494,0.8980539730004959,0.3935895072942024
