method,display_forecast_case,horizon,gamma_Q,n_completed,completed_rate,certified_global_rate,mean_cost,ci95_cost,mean_gap_to_perfect_percent,ci95_gap_to_perfect_percent,mean_voltage_violation,ci95_voltage_violation,mean_solve_time_s,ci95_solve_time_s,mean_num_bin_vars,mean_mip_gap
Perfect-Global,full actual trajectory,48,,20,1.0,0.0,1313.0122874524436,19.727897548531708,0.0,0.0,,,1800.9200499773026,0.210202574197715,0.0,0.0013148350858413
Oracle-H3,perfect,3,,20,1.0,,1670.4788485342272,26.24521469491446,27.22580485355486,0.6074062947422484,,,70.38389967679977,8.98115742316564,,
Oracle-H7,perfect,7,,20,1.0,,1578.1945053707088,22.11114826601997,20.21895821965165,0.8193113116487133,,,1934.1484997749328,232.11393434745025,,
MPC-3,id_reliable,3,,20,1.0,,1682.9825316751974,26.96871117779112,28.1758822012569,0.6466962292091991,,,70.18419983386994,9.088878299722635,,
MPC-5,id_reliable,5,,20,1.0,,1625.7381371827626,25.75235427805555,23.830200551735032,1.0059956654374451,,,501.04794989824296,83.33829173524995,,
MPC-7,id_reliable,7,,20,1.0,,1594.145195692511,27.63597479750192,21.42331441102182,1.2996326043956092,,,1687.4157499194146,202.61377297636344,,
StdNN-H3-MIP,id_reliable,3,0.3,20,1.0,,1545.9611878924084,48.65764445457143,17.764734586411134,3.448486049575958,,,98.46904990673065,5.15684954956805,69.37604166666667,0.0004339990796676
SAC,-,0,,20,1.0,,1406.2672477390768,19.70824209601105,7.11238444561201,0.313897066735277,0.2656020518070811,0.0176996496519159,0.5290190601022914,0.0383983189186628,,
SAC-ICNN,-,0,,20,1.0,,1941.220766545081,19.6243191441184,47.90158908029875,0.8173329905837933,1.0972867152965178,0.0365461585958697,0.5479890401707962,0.0306976842430574,,
SACLag,-,0,,20,1.0,,1458.4946660050755,21.05862995583299,11.088307695689494,0.3935895072942024,0.0008959236559107,0.0004323122328779,0.3798554249224253,0.0290330785736664,,
Proposed-H3,id_reliable,3,0.3,20,1.0,,1334.672642352308,20.72562692112061,1.6469610760169275,0.2308686211764118,,,33.16094986200333,1.145810863540582,,
